sleeve,sym,dir,usd,t0,t1,mins,day,null,alpha
ES:vwapbreak_2p32,ES,1,2175.0,2026-07-31 10:41:00-04:00,2026-07-31 15:59:00-04:00,318.0,2026-07-31,2765.125,-590.125
ES:vwapbreak_2p32,ES,1,4262.5,2026-07-31 10:41:00-04:00,2026-08-03 13:42:00-04:00,4501.0,2026-08-03,,
ES:vwapbreak_2p32,ES,1,2375.0,2026-07-31 10:41:00-04:00,2026-08-03 15:59:00-04:00,4638.0,2026-08-03,,
ES:vwapbreak_2p32,ES,1,0.0,2026-07-31 10:41:00-04:00,2026-08-05 12:23:00.074000-04:00,7302.001233333333,2026-08-05,,
ES:vwapbreak_2p32,ES,1,-475.0,2026-08-06 10:11:00-04:00,2026-08-06 10:27:00-04:00,16.0,2026-08-06,-45.03125,-429.96875
ES:vwapbreak_2p32,ES,-1,-112.5,2026-08-06 11:19:00-04:00,2026-08-06 14:17:00-04:00,178.0,2026-08-06,472.12500000000006,-584.625
ES:vwapbreak_2p32,ES,1,-512.5,2026-08-07 10:24:00-04:00,2026-08-07 12:31:00-04:00,127.0,2026-08-07,-15.875,-496.625
ES:vwapbreak_2p_retrace,ES,1,-662.5,2026-07-30 10:00:00-04:00,2026-07-30 10:48:00-04:00,48.0,2026-07-30,335.0,-997.5
ES:vwapbreak_2p_retrace,ES,1,1287.5,2026-07-30 12:17:00-04:00,2026-07-31 10:01:00-04:00,1304.0,2026-07-31,,
ES:vwapbreak_2p_retrace,ES,1,2175.0,2026-07-31 10:41:00-04:00,2026-07-31 15:59:00-04:00,318.0,2026-07-31,2756.59375,-581.59375
ES:vwapbreak_2p_retrace,ES,1,4550.0,2026-07-31 10:41:00-04:00,2026-08-03 15:59:00-04:00,4638.0,2026-08-03,,
ES:vwapbreak_2p_retrace,ES,1,0.0,2026-07-31 10:41:00-04:00,2026-08-06 08:23:00.553000-04:00,8502.009216666667,2026-08-06,,
ES:vwapbreak_2p_retrace,ES,1,-475.0,2026-08-06 10:11:00-04:00,2026-08-06 10:27:00-04:00,16.0,2026-08-06,-78.28125,-396.71875
ES:vwapbreak_2p_retrace,ES,-1,-112.5,2026-08-06 11:19:00-04:00,2026-08-06 14:17:00-04:00,178.0,2026-08-06,401.65625,-514.15625
ES:vwapbreak_2p_retrace,ES,1,-512.5,2026-08-07 10:24:00-04:00,2026-08-07 12:31:00-04:00,127.0,2026-08-07,61.21875,-573.71875
ES:vwapbreak_q_band,ES,1,-300.0,2026-08-10 10:54:00.009000-04:00,2026-08-10 11:01:00-04:00,6.9998499999999995,2026-08-10,-2.0,-298.0
ES:vwapbreak_q_band,ES,1,-925.0,2026-08-13 10:56:00.049000-04:00,2026-08-13 11:35:00-04:00,38.999183333333335,2026-08-13,63.03125000000001,-988.03125
ES:vwapbreak_q_bandnoext,ES,1,-125.0,2026-08-10 10:04:00.180000-04:00,2026-08-10 11:01:00-04:00,56.997,2026-08-10,-66.34375,-58.65625
ES:vwapbreak_q_bandnoext,ES,1,-312.5,2026-08-10 11:56:00.162000-04:00,2026-08-10 12:16:00-04:00,19.9973,2026-08-10,5.21875,-317.71875
ES:vwapbreak_q_bandnoext,ES,-1,-487.5,2026-08-12 11:42:00.157000-04:00,2026-08-12 12:40:00-04:00,57.99738333333333,2026-08-12,-29.21875,-458.28125
ES:vwapbreak_q_bandnoext,ES,1,-437.5,2026-08-12 14:45:00.778000-04:00,2026-08-12 15:43:00-04:00,57.987033333333336,2026-08-12,26.0,-463.5
ES:vwapbreak_q_bandnoext,ES,1,-750.0,2026-08-13 11:08:00.022000-04:00,2026-08-13 11:35:00-04:00,26.999633333333335,2026-08-13,35.6875,-785.6875
ES:vwapbreak_q_bandnoext,ES,1,-175.0,2026-08-13 15:14:00.413000-04:00,2026-08-13 15:59:00-04:00,44.993116666666666,2026-08-13,58.5,-233.5
ES:vwapbreak_q_bandnoext,ES,1,-112.5,2026-08-14 10:09:48.223000-04:00,2026-08-14 10:15:00-04:00,5.196283333333333,2026-08-14,-20.375,-92.125
ES:vwapbreak_q_bandnoext,ES,-1,312.5,2026-08-14 12:18:00.718000-04:00,2026-08-14 15:59:00-04:00,220.98803333333333,2026-08-14,505.875,-193.375
ES:vwapbreak_q_noclean,ES,1,-300.0,2026-08-10 10:54:00.009000-04:00,2026-08-10 11:01:00-04:00,6.9998499999999995,2026-08-10,-0.25,-299.75
ES:vwapbreak_q_noext,ES,1,-175.0,2026-08-10 10:03:02.453000-04:00,2026-08-10 11:01:00-04:00,57.95911666666667,2026-08-10,-51.71875,-123.28125
ES:vwapbreak_q_noext,ES,1,-350.0,2026-08-10 11:16:17.748000-04:00,2026-08-10 11:35:00-04:00,18.7042,2026-08-10,-5.25,-344.75
ES:vwapbreak_q_noext,ES,-1,1125.0,2026-08-11 11:20:09.448000-04:00,2026-08-11 15:59:00-04:00,278.84253333333334,2026-08-11,1547.875,-422.875
ES:vwapbreak_q_noext,ES,-1,-712.5,2026-08-12 10:32:00.070000-04:00,2026-08-12 10:40:00-04:00,7.998833333333334,2026-08-12,24.5625,-737.0625
ES:vwapbreak_q_noext,ES,1,-837.5,2026-08-13 10:56:00.049000-04:00,2026-08-13 11:35:00-04:00,38.999183333333335,2026-08-13,66.5,-904.0
ES:vwapbreak_q_noext,ES,1,-162.5,2026-08-13 15:13:31.403000-04:00,2026-08-13 15:59:00-04:00,45.47661666666667,2026-08-13,39.59375,-202.09375
ES:vwapbreak_qual,ES,1,-62.5,2026-08-10 11:00:14.193000-04:00,2026-08-10 11:01:00-04:00,0.7634500000000001,2026-08-10,2.84375,-65.34375
ES:vwapbreak_qual_2p,ES,1,-300.0,2026-08-10 10:54:00.009000-04:00,2026-08-10 11:01:00-04:00,6.9998499999999995,2026-08-10,-8.15625,-291.84375
ES:vwapbreak_qual_tol,ES,1,-300.0,2026-08-10 10:54:00.009000-04:00,2026-08-10 11:01:00-04:00,6.9998499999999995,2026-08-10,-23.125,-276.875
ES:vwapbreak_retest,ES,1,-100.0,2026-08-06 10:27:00.035000-04:00,2026-08-06 10:28:00-04:00,0.9994166666666667,2026-08-06,1.0,-101.0
ES:vwapbreak_retest_2p,ES,1,-100.0,2026-08-06 10:27:00.035000-04:00,2026-08-06 10:28:00-04:00,0.9994166666666667,2026-08-06,-4.8125,-95.1875
ES:vwapbreak_retest_2p,ES,1,-737.5,2026-08-10 11:00:14.193000-04:00,2026-08-10 12:32:00-04:00,91.76344999999999,2026-08-10,-153.53125,-583.96875
ES:vwapbreak_retest_2p,ES,1,-75.0,2026-08-14 10:15:00.021000-04:00,2026-08-14 10:18:00-04:00,2.9996500000000004,2026-08-14,-1.25,-73.75
ES:zones_15m,ES,-1,-825.0,2026-08-10 09:16:00-04:00,2026-08-10 09:31:00-04:00,15.0,2026-08-10,31.46875,-856.46875
ES:zones_15m,ES,1,675.0,2026-08-10 11:01:00-04:00,2026-08-10 11:31:00-04:00,30.0,2026-08-10,3.6249999999999996,671.375
ES:zones_15m,ES,1,-875.0,2026-08-11 10:16:00-04:00,2026-08-11 10:46:00-04:00,30.0,2026-08-11,-106.74999999999999,-768.25
ES:zones_15m,ES,-1,525.0,2026-08-12 09:46:00-04:00,2026-08-12 10:01:00-04:00,15.0,2026-08-12,10.125,514.875
ES:zones_1h,ES,-1,1850.0,2026-08-12 15:01:00-04:00,2026-08-12 15:59:00-04:00,58.0,2026-08-12,-21.125,1871.125
ES:zones_gap,ES,1,-3250.0,2026-07-31 09:31:00-04:00,2026-07-31 10:01:00-04:00,30.0,2026-07-31,59.0,-3309.0
ES:zones_gap,ES,1,-7162.5,2026-07-31 09:31:00-04:00,2026-07-31 10:31:00-04:00,60.0,2026-07-31,555.9375,-7718.4375
ES:zones_gap,ES,-1,-2100.0,2026-07-31 11:31:00-04:00,2026-07-31 12:31:00-04:00,60.0,2026-07-31,-544.90625,-1555.09375
ES:zones_gap,ES,-1,-7037.5,2026-08-06 08:23:00.553000-04:00,2026-08-07 10:31:00-04:00,1567.9907833333334,2026-08-07,,
ES:zones_gap,ES,-1,-1315.625,2026-08-06 08:23:00.553000-04:00,2026-08-11 11:31:00-04:00,7387.990783333333,2026-08-11,,
ES:zones_gap,ES,-1,-881.25,2026-08-06 08:23:00.553000-04:00,2026-08-11 13:31:00-04:00,7507.990783333333,2026-08-11,,
ES:zones_gap,ES,-1,-1290.625,2026-08-06 08:23:00.553000-04:00,2026-08-12 10:01:00-04:00,8737.990783333333,2026-08-12,,
ES:zones_gap,ES,-1,-937.5,2026-08-12 15:59:00-04:00,2026-08-13 10:01:00-04:00,1082.0,2026-08-13,,
ES:zones_gap,ES,-1,370.8333333333485,2026-08-13 11:01:00-04:00,2026-08-14 11:01:00-04:00,1440.0,2026-08-14,,
ES:zones_gap,ES,-1,858.3333333333485,2026-08-13 11:01:00-04:00,2026-08-14 15:59:00-04:00,1738.0,2026-08-14,,
ES:zones_gap,ES,-1,3141.666666666697,2026-08-13 11:01:00-04:00,2026-08-18 15:59:00-04:00,7498.0,2026-08-18,,
ES:zones_gap,ES,-1,1133.3333333333485,2026-08-13 11:01:00-04:00,2026-08-19 10:31:00-04:00,8610.0,2026-08-19,,
ES:zones_gap,ES,-1,1145.8333333333485,2026-08-13 11:01:00-04:00,2026-08-19 11:01:00-04:00,8640.0,2026-08-19,,
ES:zones_gap,ES,-1,2868.75,2026-08-19 12:01:00-04:00,2026-08-20 15:59:00-04:00,1678.0,2026-08-20,,
NQ:dipbuy,NQ,-1,190.0,2026-08-10 11:58:00-04:00,2026-08-10 11:59:00-04:00,1.0,2026-08-10,6.475,183.525
NQ:dipbuy,NQ,-1,-0.0,2026-08-10 11:58:00-04:00,2026-08-10 12:01:00-04:00,3.0,2026-08-10,17.3625,-17.3625
NQ:dipbuy,NQ,-1,600.0,2026-08-11 10:53:00-04:00,2026-08-11 10:54:00-04:00,1.0,2026-08-11,11.45,588.55
NQ:dipbuy,NQ,-1,4350.0,2026-08-11 10:53:00-04:00,2026-08-11 11:09:00-04:00,16.0,2026-08-11,151.16250000000002,4198.8375
NQ:dipbuy,NQ,1,-450.0,2026-08-11 14:21:00-04:00,2026-08-11 14:22:00-04:00,1.0,2026-08-11,3.9000000000000004,-453.9
NQ:dipbuy,NQ,1,-90.0,2026-08-12 10:32:00-04:00,2026-08-12 10:33:00-04:00,1.0,2026-08-12,-9.1,-80.9
NQ:dipbuy,NQ,1,855.0,2026-08-12 10:32:00-04:00,2026-08-12 10:34:00-04:00,2.0,2026-08-12,-11.75,866.75
